,1,2,3,4,5,6,7,8,9,10,11,12,13
81,0.041,0.043,0.028,0.019,0.035,0.017,0.004,0.009,,,,,
82,0.092,0.037,0.016,0.032,0.015,0.007,0.025,0.016,0.003,0.003,,,
83,0.021,0.011,0.029,0.029,0.02,0.011,0.052,0.026,,,,,
84,0.02,0.012,0.015,0.001,0.001,0.001,,,,,,,
85,0.026,0.037,0.032,0.018,0.03,0.017,0.0,0.0,0.0,,,,
86,0.033,0.0,0.009,0.004,0.007,0.006,0.011,,,,,,
87,0.028,0.005,0.007,0.026,0.01,0.0,0.028,0.017,0.017,,,,
88,0.012,0.022,0.038,0.018,0.034,0.001,0.006,0.044,0.004,0.0,,,
89,0.074,0.007,0.03,0.028,0.031,0.001,0.057,0.012,0.028,0.0,0.023,,
90,0.004,0.0,0.0,0.001,0.009,0.007,0.0,0.0,,,,,
91,0.037,0.011,0.002,0.003,0.001,0.027,0.002,0.006,,,,,
92,0.009,0.02,0.016,0.021,0.008,0.027,0.004,0.0,,,,,
93,0.011,0.005,0.004,0.004,0.006,0.005,0.0,,,,,,
94,0.015,0.001,0.007,0.004,0.002,0.0,0.006,0.001,,,,,
95,0.044,0.014,0.006,0.025,0.036,0.047,0.037,0.026,,,,,
96,0.014,0.0,0.004,0.036,0.006,0.007,0.043,0.022,,,,,
97,0.059,0.068,0.023,0.002,0.001,0.014,0.0,0.0,,,,,
98,0.025,0.001,0.002,0.002,0.023,0.076,0.032,0.017,,,,,
99,0.015,0.002,0.027,0.039,0.0,0.025,0.017,0.009,,,,,
100,0.012,0.006,0.0,0.019,0.0,0.047,0.013,0.004,,,,,
101,0.002,0.056,0.064,0.04,0.02,0.03,0.001,0.007,0.006,0.02,,,
102,0.018,0.015,0.011,0.018,0.004,0.016,0.015,0.01,0.005,,,,
103,0.007,0.011,0.0,0.002,0.001,0.001,0.0,0.003,0.001,0.0,,,
104,0.04,0.0,0.008,0.002,0.0,0.0,0.019,0.005,0.028,0.0,0.0,0.007,0.009
105,0.01,0.004,0.0,0.004,0.012,0.022,0.009,0.001,0.012,,,,
Mean per turn,0.026760000000000003,0.01552,0.01512,0.015880000000000002,0.01248,0.01648,0.015875,0.010681818181818183,0.0104,0.003833333333333333,0.0115,0.007,0.009
